// Compost colors for lrarmor. You may add your own colors, change existing ones, or remove colors that aren't needed.
armored_chemical_boots, #ffffff
armored_chemical_chestplate, #b1a257
armored_chemical_helmet, #868d89
armored_chemical_leggings, #6b737a
attacker_boots, #fffffe
attacker_chestplate, #a29889
attacker_helmet, #cdc2b4
attacker_leggings, #a29a8c
chemical_protective_boots, #ffffff
chemical_protective_chestplate, #ebd062
chemical_protective_helmet, #7c7c68
chemical_protective_leggings, #ebd054
defender_boots, #ffffff
defender_chestplate, #525146
defender_helmet, #978a76
defender_leggings, #7c786b
medical_boots, #ffffff
medical_chestplate, #8daf98
medical_helmet, #a29a9e
medical_leggings, #697f72
scout_boots, #ffffff
scout_chestplate, #b8ac9b
scout_helmet, #c0bfae
scout_leggings, #877f6f
sniper_boots, #ffffff
sniper_chestplate, #73685b
sniper_helmet, #8d847c
sniper_leggings, #57524d
